Comment,ClusterName,Signal,id,relevant,sentiment,favorite,tags
easy to use,"tastes, easy, convenient, great",0.162942933,0,true,Positive,"",""
package,"ease, 10, application, packaged",0.034682342,1,true,Negative,"",""
better tasting than my home remedy gargle,"water, salt, right, stuff",0.3304947813,2,true,Positive,"",""
nothing,"water, love, know, keep",0.1346755027,3,true,Negative,"",""
Nothing,"water, love, know, keep",0.1346755027,4,true,Negative,"",""
it is convientant,off-topic,0.0,5,true,Positive,"",""
I like that it is a gargle that you could take with you and that it combines other ingredients,"never, something, need, yucky",0.3535711563,6,true,Positive,"",""
gargle away the pain,"away, irritation, just, fizzy",0.1692803403,7,true,Positive,"",""
Made by a Nurse who understands that using simple ingredients usually works best,"method, might, compact, making",0.2836394071,8,true,Positive,"",""
don't know,"water, love, know, keep",0.1160765104,9,true,Neutral,"",""
ease of use no measure of salt,"simple, solution, problem, method",0.148669641,10,true,Positive,"",""
unsure of its effectiveness,off-topic,0.0935445738,11,true,Negative,"",""
nothing,"water, love, know, keep",0.1346755027,12,true,Negative,"",""
relief,"relief, gives, several, throat",0.0217997727,13,true,Positive,"",""
nothing,"water, love, know, keep",0.1346755027,14,true,Negative,"",""
It makes a simple solution a bit easier to handle without getting out the salt shaker and it is a product that you can easily take with you and use away from home.,"method, might, compact, making",0.5782144226,15,true,Positive,"",""
relief,"relief, gives, several, throat",0.0217997727,16,true,Positive,"",""
na,na,0.0179325123,17,true,Negative,"",""
honey and chamomile - convenient,"honey, aloe, zinc, salty",0.1993938639,18,true,Positive,"",""
Price,"product, thing, market, faster",0.0547683862,19,true,Positive,"",""
"natural cure, convenient","natural, uses, includes, ingredients",0.0837464105,20,true,Positive,"",""
Nothing,"water, love, know, keep",0.1346755027,21,true,Negative,"",""
nothing,"water, love, know, keep",0.1346755027,22,true,Negative,"",""
You can get the same relief with salt in warm water.  And Salt is a lot cheaper,"water, love, know, keep",0.3548082665,23,true,Negative,"",""
has a minty taste,"honey, aloe, zinc, salty",0.1406973299,24,true,Positive,"",""
unsure,"never, something, need, yucky",0.0973975568,25,true,Neutral,"",""
nothing,"water, love, know, keep",0.1346755027,26,true,Negative,"",""
everything you need to gargle is in one package,"never, something, need, yucky",0.2935874852,27,true,Positive,"",""
The ingredients and the relief of a sore throat.,"relief, gives, several, throat",0.1400519459,28,true,Positive,"",""
nothing,"water, love, know, keep",0.1346755027,29,true,Negative,"",""
Combining these time tested natural ingredients into one minty drink.,"natural, uses, includes, ingredients",0.23178729,30,true,Positive,"",""
prepacked tablest,off-topic,0.0,31,true,Positive,"",""
Great taste for salt gargle and added vitamins and minerals,"added, listed, zinc, aloe",0.1865883219,32,true,Positive,"",""
nothing like it that I have ever seen - entire product is new to me,"water, salt, right, stuff",0.3688558064,33,true,Positive,"",""
"Everything is great and I will buy it. Just add a tablet in water, that is great to get a sore throat gargle away.","water, warm, salt, hot",0.4666979728,34,true,Positive,"",""
The price seem about right---you can use it on the go...great for folks who get sore throats.,"never, something, need, yucky",0.3993089222,35,true,Positive,"",""
That it comes from salt water.,"water, warm, salt, hot",0.1534746149,36,true,Positive,"",""
sounds good,"water, salt, right, stuff",0.1986645188,37,true,Positive,"",""
nothing,"water, love, know, keep",0.1346755027,38,true,Negative,"",""
Easy application method - fizzy tablet in water,"water, warm, salt, hot",0.1819623921,39,true,Positive,"",""
the old concept,off-topic,0.0773242014,40,true,Negative,"",""
Saltwater!,"saltwater, remedy, fizzies, pill",0.0370903652,41,true,Negative,"",""
fizzy while you gargle,"honey, aloe, zinc, salty",0.1326953145,42,true,Positive,"",""
easy and quick,"tastes, easy, convenient, great",0.1808363971,43,true,Positive,"",""
zzzzzzzzzzzzzzzzzzz,off-topic,0.0,44,true,Negative,"",""
The ease of dropping a tablet into warm water,"water, warm, salt, hot",0.1533700344,45,true,Positive,"",""
The refreshing aftertaste.,"water, salt, right, stuff",0.1858851298,46,true,Positive,"",""
Easy to use for people on the go.,"never, something, need, yucky",0.2459248516,47,true,Positive,"",""
non medicated way to get rid of a sore throat,off-topic,0.1763572414,48,true,Positive,"",""
It comes in tablet form and it has ingredients that are supposed to be good for you such as zinc.,"method, might, compact, making",0.403106055,49,true,Positive,"",""
good taste help with sore throat ingredents,"never, something, need, yucky",0.369069828,50,true,Positive,"",""
it sounds good but the  price a little high for me I can stick with my warm sea salt gargle if I get a sore throat and vicks rub  with a rag around the throat the next morning no sore throat.,off-topic,0.4370741079,51,true,Mixed,"",""
The price.,"product, thing, market, faster",0.0774541945,52,true,Positive,"",""
nothing,"water, love, know, keep",0.1346755027,53,true,Negative,"",""
Never seen anything like this before.,"never, something, need, yucky",0.2593892173,54,true,Positive,"",""
Convenience.,"product, thing, market, faster",0.064441736,55,true,Positive,"",""
"Nothing new, there are other remedies cheaper than this item.","method, might, compact, making",0.2982917029,56,true,Negative,"",""
it helps sooth your sore throat with natural ingredients,"natural, uses, includes, ingredients",0.1455780265,57,true,Positive,"",""
nothing,"water, love, know, keep",0.1346755027,58,true,Negative,"",""
tablets ready to use,"water, salt, right, stuff",0.2211119196,59,true,Positive,"",""
nothing,"water, love, know, keep",0.1346755027,60,true,Negative,"",""
nothing..,"water, love, know, keep",0.1346755027,61,true,Negative,"",""
Relieves sore throat,"treat, releif, treatments, throat",0.0846912979,62,true,Positive,"",""
packing something I might use twice a year in a 10 tablet pack.,"never, something, need, yucky",0.4299699376,63,true,Negative,"",""
