Comment,ClusterName,Signal,id,relevant,sentiment,favorite,tags
I don't know. It all looks new to me.,off-topic,0.4166346948,0,true,Positive,"",""
a bit pricey per color,off-topic,0.0621788785,1,true,Negative,"",""
nothing,"nothing, 9, 99, bottle",0.1973714361,2,true,Positive,"",""
nothing,"nothing, 9, 99, bottle",0.1973714361,3,true,Positive,"",""
heat sealing with an iron.,off-topic,0.0184912527,4,true,Negative,"",""
less messy,off-topic,0.1110884346,5,true,Negative,"",""
Needs a better catchy label.,off-topic,0.0395012772,6,true,Negative,"",""
nothing,"nothing, 9, 99, bottle",0.1973714361,7,true,Positive,"",""
packageing,off-topic,0.0,8,true,Neutral,"",""
none,off-topic,0.0520440614,9,true,Positive,"",""
packaging,off-topic,0.0543773049,10,true,Neutral,"",""
its another arts-and-craft-project product,off-topic,0.1071684459,11,true,Negative,"",""
acid free,off-topic,0.0338740453,12,true,Negative,"",""
na,off-topic,0.0202820529,13,true,Positive,"",""
nothing,"nothing, 9, 99, bottle",0.1973714361,14,true,Positive,"",""
everything,off-topic,0.1886130649,15,true,Negative,"",""
Nothing.,"nothing, 9, 99, bottle",0.1973714361,16,true,Positive,"",""
n/a,off-topic,0.0,17,true,Positive,"",""
packaging,off-topic,0.0543773049,18,true,Neutral,"",""
NOTHING,"nothing, 9, 99, bottle",0.1973714361,19,true,Positive,"",""
nothing,"nothing, 9, 99, bottle",0.1973714361,20,true,Positive,"",""
Heat seal with iron,off-topic,0.0209160738,21,true,Negative,"",""
price,off-topic,0.0779237229,22,true,Negative,"",""
nothing,"nothing, 9, 99, bottle",0.1973714361,23,true,Positive,"",""
nothing,"nothing, 9, 99, bottle",0.1973714361,24,true,Positive,"",""
packaging,off-topic,0.0543773049,25,true,Neutral,"",""
I don't use this type of product so I don't know.,off-topic,0.1465750554,26,true,Neutral,"",""
??,off-topic,0.0,27,"","","",""
all is inovative,off-topic,0.0,28,true,Positive,"",""
na,off-topic,0.0202820529,29,true,Positive,"",""
nothing in particular,off-topic,0.1552774175,30,true,Positive,"",""
acid free,off-topic,0.0338740453,31,true,Negative,"",""
na,off-topic,0.0202820529,32,true,Positive,"",""
still just a stencil paint,off-topic,0.1257014867,33,true,Negative,"",""
none,off-topic,0.0520440614,34,true,Positive,"",""
nothing,"nothing, 9, 99, bottle",0.1973714361,35,true,Positive,"",""
Don't have anything to say about that.,off-topic,0.3289346211,36,true,Neutral,"",""
don't know,off-topic,0.1726415482,37,true,Neutral,"",""
IDK,off-topic,0.0,38,true,Neutral,"",""
prioce..,off-topic,0.0,39,true,Negative,"",""
some what of a mess,off-topic,0.1273463913,40,true,Negative,"",""
"don't know, don't care",off-topic,0.0591217172,41,true,Negative,"",""
stencil paint in general is not very innovative.,off-topic,0.1166986796,42,true,Negative,"",""
nothing,"nothing, 9, 99, bottle",0.1973714361,43,true,Positive,"",""
It looks like it may be messy and less exact,off-topic,0.2939043244,44,true,Negative,"",""
not sure,"nothing, 9, 99, bottle",0.1822980813,45,true,Negative,"",""
noting,off-topic,0.0912077279,46,true,Positive,"",""
stenciling,off-topic,0.0,47,true,Negative,"",""
acid free,off-topic,0.0338740453,48,true,Negative,"",""
NOTHING,"nothing, 9, 99, bottle",0.1973714361,49,true,Positive,"",""
price,off-topic,0.0779237229,50,true,Negative,"",""
don't need this,off-topic,0.149705369,51,true,Negative,"",""
there arequite a few cheaper products out that are less expensive.,off-topic,0.1567809544,52,true,Negative,"",""
NONE,off-topic,0.0520440614,53,true,Positive,"",""
wont buy this,off-topic,0.1702973321,54,true,Negative,"",""
n/a,off-topic,0.0,55,true,Positive,"",""
nothing,"nothing, 9, 99, bottle",0.1973714361,56,true,Positive,"",""
"not a new idea, stenciling has been around a long time and who needs archival quality on clothing??",off-topic,0.3307920293,57,true,Negative,"",""
na,off-topic,0.0202820529,58,true,Positive,"",""
I don't do DIY projects like these,off-topic,-0.0039120136,59,true,Negative,"",""
none,off-topic,0.0520440614,60,true,Positive,"",""
n/a,off-topic,0.0,61,true,Positive,"",""
nothing,"nothing, 9, 99, bottle",0.1973714361,62,true,Positive,"",""
Permanent clothing design.,off-topic,0.0348687749,63,true,Negative,"",""
dk,off-topic,0.0032551762,64,true,Neutral,"",""
not interested,off-topic,0.0903547422,65,true,Negative,"",""
Availability.,off-topic,0.0399819576,66,true,Negative,"",""
nothing,"nothing, 9, 99, bottle",0.1973714361,67,true,Positive,"",""
sounds  good,"nothing, 9, 99, bottle",0.2473077975,68,true,Positive,"",""
heat seal. more work,off-topic,0.0151532978,69,true,Negative,"",""
10 colors,off-topic,0.0464264628,70,true,Negative,"",""
Any residue on iron?,off-topic,0.0156809811,71,true,Negative,"",""
Price,off-topic,0.0779237229,72,true,Negative,"",""
don't know,off-topic,0.1726415482,73,true,Neutral,"",""
nothing,"nothing, 9, 99, bottle",0.1973714361,74,true,Positive,"",""
easier to make a mess,off-topic,0.3014913515,75,true,Negative,"",""
same as before,off-topic,0.0,76,true,Negative,"",""
nothing,"nothing, 9, 99, bottle",0.1973714361,77,true,Positive,"",""
Nothing seems to apply,off-topic,0.2664195077,78,true,Positive,"",""
I can not think as to how it is not innovative,off-topic,0.3049287788,79,true,Positive,"",""
don'tknow,off-topic,0.0,80,true,Neutral,"",""
not sure,"nothing, 9, 99, bottle",0.1822980813,81,true,Neutral,"",""
That it is a spray.,off-topic,0.0848342481,82,true,Negative,"",""
price,off-topic,0.0779237229,83,true,Negative,"",""
nothing,"nothing, 9, 99, bottle",0.1973714361,84,true,Positive,"",""
nothing,"nothing, 9, 99, bottle",0.1973714361,85,true,Positive,"",""
cost,off-topic,0.0555186353,86,true,Negative,"",""
STENCIL 1,off-topic,0.0544226793,87,true,Negative,"",""
its a spray bottle,off-topic,0.1310801135,88,true,Negative,"",""
limited color selection,off-topic,0.0762095453,89,true,Negative,"",""
n/a,off-topic,0.0,90,true,Positive,"",""
none,off-topic,0.0520440614,91,true,Positive,"",""
Nothing.,"nothing, 9, 99, bottle",0.1973714361,92,true,Positive,"",""
price,off-topic,0.0779237229,93,true,Negative,"",""
