Comment,ClusterName,Signal,id,relevant,sentiment,favorite,tags
It was recently granted a patent for it's technology and manufacturing methods that make it a high-performance paint.,"technology, manufacturing, patent, methods",0.2286903274,0,true,Positive,"",""
"zero VOC, zero emissions","zero, emissions, friendly, biggest",0.188354213,1,true,Positive,"",""
nothing,"anything, go, love, come",0.0922592168,2,true,Negative,"",""
environmentally friendly,"eco, 0, friendly, totally",0.0985867684,3,true,Positive,"",""
Green product that dries quickly,"green, odors, practices, zero",0.1790859168,4,true,Positive,"",""
drys fast environment friendly,"environment, good, environmental, absolutely",0.1732548664,5,true,Positive,"",""
"The environmentally friendly aspect is a plus, along with the drying quickly for same day use of the recently painted room.","painted, room, newly, full",0.3254137676,6,true,Positive,"",""
nothing,"anything, go, love, come",0.0922592168,7,true,Negative,"",""
do not like the brand,"products, product, innovative, several",0.059912615,8,true,Negative,"",""
price is too high,"price, pay, high, market",0.1064078527,9,true,Negative,"",""
I like that it is formulated with the greenest practices.,"environment, good, environmental, absolutely",0.1513593169,10,true,Positive,"",""
zero VOC,"zero, emissions, friendly, biggest",0.1136434572,11,true,Positive,"",""
"full, same day use of newly painted room","painted, room, newly, full",0.1396290927,12,true,Positive,"",""
na,na,0.0076648795,13,true,Neutral,"",""
Zero VOC,"zero, emissions, friendly, biggest",0.1136434572,14,true,Positive,"",""
enviromentaly friendly,"eco, 0, friendly, totally",0.0859463132,15,true,Positive,"",""
Safe to use without stinkin' up the house with dangerous smells.,"find, means, people, put",0.2604824366,16,true,Positive,"",""
green,"green, odors, practices, zero",0.0413722056,17,true,Positive,"",""
environmentally friendly product,"products, product, innovative, several",0.1569352676,18,true,Positive,"",""
NOTHING,"anything, go, love, come",0.0922592168,19,true,Negative,"",""
dries quickly,"quickly, days, supposedly, coats",0.1288061697,20,true,Positive,"",""
Zero emission,"zero, emissions, friendly, biggest",0.1164853352,21,true,Positive,"",""
voc,off-topic,0.018904266,22,true,Positive,"",""
zero emissions,"zero, emissions, friendly, biggest",0.1412534857,23,true,Positive,"",""
It's environmentally friendly,"eco, 0, friendly, totally",0.120743639,24,true,Positive,"",""
it is green,"green, odors, practices, zero",0.0413722056,25,true,Positive,"",""
"The fact that it is zero VOC. I've seen low VOC but never Zero.  Also, it dries quickly for same day use.","find, means, people, put",0.4914791371,26,true,Positive,"",""
??,off-topic,0.0,27,"","","",""
"It is an environmentally friendly product providing, zero VOC and emission options when used. Using the greenest possible practices. Patented for high performance properties.",off-topic,0.404674263,28,true,Positive,"",""
zero emissions,"zero, emissions, friendly, biggest",0.1412534857,29,true,Positive,"",""
nothing in particular,"find, means, people, put",0.1466132474,30,true,Negative,"",""
greenest possible practices???? whatever that means,"find, means, people, put",0.2323025764,31,true,Negative,"",""
"no emmissions,dries fast, good for the envronment","anything, go, love, come",0.2378398843,32,true,Positive,"",""
better for the environment!,"environment, good, environmental, absolutely",0.1360823599,33,true,Positive,"",""
environmentally freindly,"freindly, friendliness, concious, driendly",0.1134340299,34,true,Positive,"",""
zero VOC and zero emissions,"zero, emissions, friendly, biggest",0.188354213,35,true,Positive,"",""
It is environmentally friendly. It dries quickly for same day use of the newly painted room.,"painted, room, newly, full",0.2304122379,36,true,Positive,"",""
its a first all natural paint,"natural, made, ingredients, makes",0.1168557598,37,true,Positive,"",""
Same day usage and environmentally friendly.,off-topic,0.1761462849,38,true,Positive,"",""
expence..,off-topic,0.0,39,true,Negative,"",""
I am very interested on switching whatever I can to be eco-friendly. Dries the same day and has high performance properties,off-topic,0.1749403269,40,true,Positive,"",""
very expensive,"low, cost, fast, less",0.0921268982,41,true,Negative,"",""
zero emissions.,"zero, emissions, friendly, biggest",0.1412534857,42,true,Positive,"",""
Not sure but looks attractive,"find, means, people, put",0.2284546187,43,true,Neutral,"",""
It is made using green practices and is better for the envirnoment,"find, means, people, put",0.3014908709,44,true,Positive,"",""
zero VOC and emissions,"zero, emissions, friendly, biggest",0.1748198694,45,true,Positive,"",""
not inovative,off-topic,0.0,46,true,Negative,"",""
proprietary raw materials. same day use of the painted room,"painted, room, newly, full",0.1936995683,47,true,Positive,"",""
zero voc and emissions,"zero, emissions, friendly, biggest",0.1748198694,48,true,Positive,"",""
"enviornmentally friendly, same day use","eco, 0, friendly, totally",0.1215464418,49,true,Positive,"",""
natural,"natural, made, ingredients, makes",0.0599269911,50,true,Positive,"",""
environmentally friendly,"eco, 0, friendly, totally",0.0985867684,51,true,Positive,"",""
Green elements.,"green, odors, practices, zero",0.1188039678,52,true,Positive,"",""
NONE,none,0.0171742328,53,true,Negative,"",""
I would buy this to try it.,off-topic,0.1340042404,54,true,Positive,"",""
nothing,"anything, go, love, come",0.0922592168,55,true,Negative,"",""
all natural,"natural, made, ingredients, makes",0.0599269911,56,true,Positive,"",""
zero VOC and green practices,"green, odors, practices, zero",0.1407734979,57,true,Positive,"",""
na,na,0.0076648795,58,true,Negative,"",""
More natural than other paints,"natural, made, ingredients, makes",0.1115776021,59,true,Positive,"",""
zero omissions,"zero, emissions, friendly, biggest",0.1147144758,60,true,Positive,"",""
"zero voc, zero emissions","zero, emissions, friendly, biggest",0.188354213,61,true,Positive,"",""
nothing,"anything, go, love, come",0.0922592168,62,true,Negative,"",""
Environmentally friendly.,"eco, 0, friendly, totally",0.0985867684,63,true,Positive,"",""
dk,off-topic,0.0026830785,64,true,Neutral,"",""
not interested,off-topic,0.0632392009,65,true,Negative,"",""
Too expensive and would not purchase; can purchase something similar at Lowes for a better price.,"find, means, people, put",0.3857314384,66,true,Negative,"",""
nothing,"anything, go, love, come",0.0922592168,67,true,Negative,"",""
fast drying and safe,"low, cost, fast, less",0.1425945042,68,true,Positive,"",""
environmentally friendly,"eco, 0, friendly, totally",0.0985867684,69,true,Positive,"",""
no smell dry quickly,"dry, time, fast, easy",0.1142661464,70,true,Positive,"",""
One coat,off-topic,0.0054061744,71,true,Positive,"",""
Environmentally friendly,"eco, 0, friendly, totally",0.0985867684,72,true,Positive,"",""
don't know,"anything, go, love, come",0.0721733237,73,true,Neutral,"",""
no VOC,off-topic,0.018904266,74,true,Positive,"",""
no voc or emissions,"freindly, friendliness, concious, driendly",0.1003957219,75,true,Positive,"",""
It's green,"green, odors, practices, zero",0.0585091343,76,true,Positive,"",""
Zero VOC and zero emissions option,"zero, emissions, friendly, biggest",0.2323780653,77,true,Positive,"",""
The packaging,"products, product, innovative, several",0.090496592,78,true,Negative,"",""
How safe it would be in a house with allergic people.  I can see that people with allergies will find the product the best thing so far for interior painting.,"find, means, people, put",0.4607189515,79,true,Positive,"",""
paont?,off-topic,0.0,80,"","","",""
everything,"anything, go, love, come",0.088083001,81,true,Positive,"",""
"It is environmentally friendly, high performance and dries quickly.",off-topic,0.1078526533,82,true,Positive,"",""
dries,"base, water, drying, quick",0.0372536403,83,true,Positive,"",""
nothing,"anything, go, love, come",0.0922592168,84,true,Negative,"",""
nothing,"anything, go, love, come",0.0922592168,85,true,Negative,"",""
no idea,"find, means, people, put",0.0951756202,86,true,Neutral,"",""
PRODUCED WITH THE GREENEST POSSIBLE PRACTICES,off-topic,0.1597356423,87,true,Positive,"",""
cool packaging   very earfthy,"base, water, drying, quick",0.1283330621,88,true,Positive,"",""
environmentally friendly,"eco, 0, friendly, totally",0.0985867684,89,true,Positive,"",""
looks like something I would like to use,"anything, go, love, come",0.2443037733,90,true,Positive,"",""
expensive,"low, cost, fast, less",0.0921268982,91,true,Negative,"",""
